ID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Process Type,Application Type,Technology,Interaction,Data Scope 1,Data Scope 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source
308,AIDA: AI Disaster Advisor,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,"AIDA (Artificial Intelligence Disaster Advisor) combines Big Data, Data Science and Data Streaming and quickly feeds all emergency services in a crisis situation with relevant information, making them better able to save and protect lives.",National,Netherlands,NL,Cyber Peacekeeping Forces,Central-Government,Public order and safety,Public order and safety n.e.c.,Pilot,2021,,Reasoning,Knowledge representation,Automated reasoning,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
309,Anti-cheat software for exams,https://www.rtlnieuws.nl/tech/artikel/5210854/proctorexam-online-surveillance-tentamen-examen-universiteit-hogeschool en https://lsvb.nl/2021/01/26/meerderheid-onderwijsinstellingen-blijven-online-surveillance-gebruiken-bij-tentamens-ondanks-grote-bezwaren/,"Several Dutch higher education institutions use online surveillance software called Proctorexam. By means of the proctoring software, students can be watched during exams via the webcam, microphone or web browser. The software monitors whether the students are cheating and can label students as 'suspicious'",Local,Netherlands,NL,15 high educational institutions in the Netherlands,Local Government,Education,Education not definable by level.,In development,2021,,Perception,Computer vision,Machine learning,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
310,Artificial inspector - Self-learning system for the inspection of national roads and waterways,https://2coolmonkeys.nl/portfolio/de-ai-fabriek/,"By using cameras, a large part of this inspection can be automated. Instead of using expensive professional cameras that can be used to a limited extent, Rijkswaterstaat has opted to use standard smartphones (Android). The app on the smartphone is applied to cars and ships and makes a recording every second. This recording is used in combination with geographic data to train a cloud-based neural network",National,Netherlands,NL,"Rijkswaterstaat, 2CoolMonkeys",Local Government,Economic affairs,Transport,Not in use anymore,2018,,Planning,Planning and Scheduling,Computer vision,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2B,Dynamic Data,Location Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
311,Asphalt scan - Detection of  damage to roads,https://www.baminfra.nl/nieuws/samen-winnen-met-artificial-intelligence,"With the help of 'the Asphalt Scan', damage to the road and reduced brightness of signage is recognized. The Asphalt Scan uses satellites and scanning vehicles to collect data. Algorithms then identify the problems on the road. ",Regional,Netherlands,NL,"Province of North Holland, Municipality of Amersfoort, Bam infra, Province of Gelderland and other provinces",Local Government,Economic affairs,Transport,In development,2019,,Planning,Planning and Scheduling,Computer vision,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
312,Combating Online Child Abuse,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,The SBIR project Combating Online Child Abuse determines whether it is possible to create and implement an AI model that recognizes illegal content (images) so that this content can be removed from the Internet. ,National,Netherlands,NL,PWC,Central-Government,Public order and safety,Public order and safety n.e.c.,Pilot,2021,,Perception,Computer vision,Searching,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Dynamic Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
313,Prediction of young people engagement in undesirable behaviour (Pilot Apeldoorn Youth),https://www.binnenlandsbestuur.nl/digitaal/nieuws/zorgen-over-big-data-pilot-apeldoornse-jeugd.9536068.lynkx,"By linking data sources, predict which groups of young people are more likely to engage in undesirable behaviour in which locations.",Local,Netherlands,NL,Municipality of Apeldoorn,Local Government,Social protection,Family and children.,Not in use anymore,2017,,Planning,Planning and Scheduling,Automated reasoning,,,,"Analysis, monitoring and regulatory research",Prediction and planning ,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
314,Blue Operational Prevention Service,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen,The aim of this project is to prevent flooding. The optimal deployment is determined by minimizing real-time information about the risks with smart algorithms based on the available resources. This gives a user a tailor-made action perspective.,Regional,Netherlands,NL,Nelen & Schuurmans,Private sector,Public order and safety,Public order and safety n.e.c.,Pilot,2021,,Planning,Planning and Scheduling,Automated reasoning,,,,"Analysis, monitoring and regulatory research",Prediction and planning ,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
315,Tree Monitor - Detecting illegal logging ,https://www.neo.nl/nieuws/bomenmonitor-helpt-illegale-kap-op-te-sporen/ ,"Since December 2017, the province of Gelderland has an additional tool for detecting illegal logging: the tree monitor. Satellite images from different years are compared with each other, if trees have disappeared somewhere, the map indicates this.",Regional,Netherlands,NL,"Province of Gelderland, NEO, Wageningen Environmental Research",Local Government,Environmental protection,Environmental protection n.e.c.,In development,2017,,Perception,Computer vision,Machine learning,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
316,Brid.ge,"https://www.youtube.com/watch?v=4Pf_dK-OtFs
 https://techforfuture.nl/smart-city-enschede-onderzoekers-combineren-realtime-informatie-over-parkeren-weer-en-vervoer/","With the available information, the visitor can drive directly to the right parking lot or still opt for public transport. ",Local,Netherlands,NL,"Municipality of Enschede, Saxion, Winkelhart Enschede, University of Twente, Both Social, eLabbs, Marotura, Present Media, Squal Media, Think Public, University of Twente and Winkelhart Enschede",Local Government,Economic affairs,Transport,Pilot,2018,,Reasoning,Automated reasoning,Searching,,,,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,,x,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
317,Business Intelligence and Analytics (BI&A) - Indication of risks based on previous declarations,https://decorrespondent.nl/1766/Vergeet-de-politiestaat-Welkom-in-de-belastingstaat/90525160-5a2c27c2 ,"Dutch Tax Authority works with self-learning models that increasingly more refined indicate where risks are based on previous inspected declarations and feedback of the results. An example is Dynamic Monitoring. This project links outstanding receivables to sources for redress (wages, cars, real estate, etc.) and generates a list of claims with (new) redress options.",National,Netherlands,NL,Dutch Tax Authority,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2014,,Reasoning,Automated reasoning,Machine learning,,,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
318,Case Law Engine,https://www.trouw.nl/nieuws/de-rechtspraak-is-met-deze-nieuwe-robot-niet-langer-digibeet~b9b058a2/,"A search engine allows lawyers and lawyers to search rulings of completed lawsuits about labor disputes. With the help of Artificial Intelligence, all published dismissal cases are searched, and labeled by keywords so that they are recognized later. Legal researchers from Erasmus University Rotterdam keep an eye on whether the keywords are properly explained.",National,Netherlands,NL,LexIQ,Central-Government,Public order and safety,Law courts,In development,2019,,Reasoning,Knowledge representation,Searching,,,,Public services and engagement,Service integration (various),Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,Open government capabilities,x,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
319,CityFlows-Amsterdam,https://cityflows-project.eu/amsterdam-2/,"CityFlows is an EIT Urban Mobility flagship project bringing together a diverse consortium of partners to launch a state-of-the-art Crowd Management Decision-Support System (CM-DSS) to improve the safety and comfort of busy pedestrian spaces. The recent launch of City Analytics, a start-up licensing the CityFlows CM-DSS software to government authorities, represents a major project milestone. City Analytics will boost the quality of pedestrian spaces, a timely development as cities look for reliable tools that can help them respond to the Corona crisis",Regional,Netherlands,NL,Municipality of Amsterdam-AMS Institute,Local Government,Economic affairs,Transport,In development,2020,,Learning,Machine learning,Computer vision,,,,"Analysis, monitoring and regulatory research",Prediction and planning ,Artificial Intelligence,G2G,Historical Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,https://cityflows-project.eu/
320,CrossWalk in Smart City Rijswijk,"https://www.rijswijk.nl/smartcity/app
https://dynniq.com/wp-content/uploads/2018/11/2182364-DYNNIQ_leaflet_Crosswalk_ENG_v3-drukbestand_LR.pdf ",The municipality of Rijswijk uses a smart pedestrian app for people who have difficulty walking. They are given more time to cross by extending the time of green traffic light. ,Local,Netherlands,NL,"Municipality of Rijswijk, Dynniq",Local Government,Health,Health n.e.c.,In development,2021,,Perception,Computer vision,Machine learning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
321,Improve data quality with AI - Machine learning to improve the data quality of registrations,https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/nieuwe-technologieen-data-en-ethiek/het-led/toolbox/aan-de-slag-datagedreven-werken-in-de-praktijk/ ,"The services of the municipality of The Hague run on data registrations. The quality of the registrations can have consequences for the quality of the service. In this pilot, AI (machine learning) was used with the aim of analyzing, monitoring and continuously improving the data quality of the registrations. Phinion's Qbot product has been used. Qbot discovers patterns and deviations within and between registrations via machine learning.",Local,Netherlands,NL,Municipality of The Hague and Phinion Data Engineering.,Local Government,General public services,R&D general public services.,Implemented,2020,,Learning,Machine learning,Knowledge representation,,,,Internal management,Internal primary processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
322,the Refinery,https://zoek.officielebekendmakingen.nl/blg-849198.pdf,"A facility that makes it possible to quickly access, give meaning to large amounts of police data, to analyse and visualize in conjunction with each other. ",Local,Netherlands,NL,Dutch Police,Local Government,Public order and safety,Police Services,In development,2018,,Planning,Planning and Scheduling,Machine learning,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
323,The smart bridge,https://baae58888c14f40f89d08821.blob.core.windows.net/paper/SmartShipping_paper_nl.pdf ,"The province of South Holland has an important role in the traffic flow within the region by operating and maintaining more than 100 bridges. Smart ICT solutions offer new opportunities to link up-to-date traffic information with live shipping information via sensors and algorithms. In the project 'impact monitor bridge openings', an essential step has been taken in predicting traffic intensities around a number of important bridges in the province of South Holland. The Long Short-Term Memory neural networks used can make predictions up to 21 minutes ahead with a correlation-efficient accuracy of 60-80%.",Regional,Netherlands,NL,"Province of South Holland, DO IT analytics",Local Government,Economic affairs,Transport,Implemented,2019,,Planning,Planning and Scheduling,Machine learning,,,,"Analysis, monitoring and regulatory research",Prediction and planning ,Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,,x,x,x,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
324,"Detection of aggression, panic and abnormal behaviour with smart cameras",https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,"In this project, ViNotion develops AI technology that analyzes the behavior of individuals and recognizes panic, aggression and deviant behavior early. This allows early signalling in large public areas such as stations, airports, city centres and entertainment centres, so that security and assistance can be switched on much faster. The faster and more efficient deployment of personnel reduces the impact of incidents on the public and the environment.",National,Netherlands,NL,ViNotion,Private sector,Public order and safety,Public order and safety n.e.c.,Pilot,2021,,Perception,Computer vision,Machine learning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
325,Firework nuisance detection system - AI to determine if bangs are firework,https://www.ad.nl/amersfoort/amersfoort-zet-experiment-met-vuurwerkdetectie-voort~a4e1dbbd/,"If multiple sensors catch a bang, the system determines whether these are (illegal) fireworks. If so, municipal enforcers will receive a notification on their smartphones. This data makes it clear, for example, which routes nuisance offenders run, at what times they are lit and where. ",Local,Netherlands,NL,6 municipalities,Local Government,Public order and safety,Public order and safety n.e.c.,In development,2017,,Perception,Audio processing,Machine learning,,,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
326,Diagnosis Plan and Control Tool - Assessing the risk of home fraud,"https://www.binnenlandsbestuur.nl/sociaal/achtergrond/achtergrond/het-bijstandswonder-van-boxmeer.699608.lynkx
https://www.toetsingscommissievp.nl/binaries/toetsingscommissievp/documenten/publicaties/2020/01/02/boxmeer-vu-2016/Boxmeer+VU+2016.pdf","This allows the municipality to assess the risk of fraud so that it can make a choice whether or not to go on a home visit to verify data. A risk indicator in this system is, for example, the form in which one lives (such as with family, subletting) and whether or not with inmates. These circumstances are then related to the amount of housing costs and any debts. This digital tool allows a municipality to use its human power more selectively during home visits.",Local,Netherlands,NL,Municipalities (Boxmeer),Local Government,Social protection,Social protection n.e.c.,In development,2011,,Planning,Planning and Scheduling,Automated reasoning,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2C,Historical Data,Location Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
327,Digital assistant for answering Parliamentary questions,https://datascienceinitiative.eu/wp-content/uploads/2020/05/DSI-AIBinnenDeOverheid.pdf,The digital assistant supports policy staff in answering parliamentary questions by searching public sources,National,Netherlands,NL,Ministry of Social Affairs and Employment,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Communication,Natural language processing,Searching,,,Q&A,Internal management,Internal primary processes,Artificial Intelligence,G2G,Dynamic Data,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,,x,,,Open government capabilities,x,x,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
328,Digital identification and verification,https://www.digitaleoverheid.nl/actielijn/onderzoek-naar-gebruik-automatische-gezichtsherkenning-en-andere-vormen-van-biometrische-identificatie/,Research into the use of automatic facial recognition and other forms of biometric identification.,National,Netherlands,NL,"Ministry of Justice and Security, Ministry of the Interior and Kingdom Relations",Central-Government,General public services,General services.,In development,2019,,Perception,Computer vision,Machine learning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
329,E-Discovery - automatic classifcation of incoming and outgoing emails,https://www.nationaalarchief.nl/archiveren/nieuws/e-discovery-machine-learning-en-e-mail,"In 2016, the Nationaal Archief started a study into the possibilities of E-discovery within information management. As part of this research, in collaboration with the ICT Implementation Organisation (ICTU), a prototype has been developed that automatically classifies incoming and outgoing e-mails.",National,Netherlands,NL,National Archives and ICTU,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2017,,Reasoning,Automated reasoning,Machine learning,,,,Internal management,Internal support processes,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
330,Excess Material Exchange,https://www.prorail.nl/nieuws/online-handelsplatform-voor-restmaterialen,"Various organizations are exploring the possibilities of exchanging residual materials among themselves. With the help of AI, supply and demand are linked together and a trading platform is created to close the residual flows circle of the organizations. EME then uses Artificial Intelligence (AI) to quickly read and interpret all that data. AI ensures that matches are made quickly and on a large scale between buyers and suppliers of materials. The intelligence lies in the fact that the AI program also brings together parties that you might not immediately think of yourself.",National,Netherlands,NL,"ProRail, Schiphol, DSM, Rijkswaterstaat Heembouw, Sodexo",Central-Government,Economic affairs,Transport,In development,2018,,Learning,Machine learning,Optimisation,,,,Internal management,Internal support processes,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
331,"FlowCube - a picture of the traffic of cyclists, vehicles and pedestrians",https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,"The aim of the development of this system is to get a picture of the traffic of cyclists, vehicles and pedestrians. This is done by means of compact video and AI modules, also called the FlowCube. The image recognition in FlowCube detects cyclists, cars and pedestrians. ",Local,Netherlands,NL,Technolution B.V.,Private sector,Economic affairs,Transport,Pilot,2021,,Learning,Machine learning,Computer vision,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,x,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
332,Forensic Image Recognition (FIRE) -  Recognition of containers that have illegal cargo,https://datascienceinitiative.eu/wp-content/uploads/2020/05/DSI-AIBinnenDeOverheid.pdf,"This system aims to relieve detection staff by automatic image recognition. To recognize these images, large amounts of data are analyzed. The system could learn to recognize containers that potentially have an illegal cargo.",National,Netherlands,NL,Netherlands Forensic Institute (NFI),Central-Government,Public order and safety,Police Services,Pilot,2020,,Perception,Computer vision,Machine learning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2B,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
333,Geniq -  reports wait times,https://www.pinkroccade-healthcare.nl/product/geniq-ggz/,"Calculates, analyzes, and reports wait times, so that an institution always has up-to-date insights.",Local,Netherlands,NL,Mental health institutions,Local Government,Social protection,Social protection n.e.c.,In development,2021,,Learning,Machine learning,Planning and Scheduling,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,G2C,Historical Data,Dynamic Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
334,GEO reference of documents - Gaining more insight into data on nitrogen emissions and soil pollution,https://www.bolesian.ai/case-gelderland/,Bolesian has developed an application for the province of Gelderland with which large amounts of unstructured information and data can be analyzed. The focus is on gaining more insight into data on nitrogen emissions and soil pollution. ,Regional,Netherlands,NL,"Province of Gelderland, Bolesian.ai",Private sector,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2021,,Reasoning,Automated reasoning,Machine learning,,,,Internal management,Internal support processes,Artificial Intelligence,G2G,Dynamic Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
335,Graasdierpremie - Use of drones in counting animals ,https://staff.science.uva.nl/p.s.m.mettes/papers/drones-eccvw14.pdf,"nature conservation by auto matically monitoring animal distribution and animal abundance. Typi cally, such conservation tasks are performed manually on foot or after
an aerial recording from a manned aircraft. Such manual approaches are expensive, slow and labor intensive.",National,Netherlands,NL,NVWA,Central-Government,Economic affairs,"Agriculture, forestry, fishing and hunting",Pilot,2014,,Integration and Interaction,Robotics and Automation,Computer vision,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2B,Dynamic Data,Location Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
336,Hansken - Faster search of photographs because of smart algorithm,"https://www.hansken.nl/latest/news/2021/03/21/smart-algorithm-faster-search
https://www.forensischinstituut.nl/forensisch-onderzoek/hansken","There must be a more efficient way of doing this, thought the data scientists at the Netherlands Forensic Institute (NFI), and so they developed the Forensic Image Recognition Engine (FIRE) software library. Working on the basis of existing models, the experts created a machine learning algorithm that, after ‘training’, is able to find the proverbial needle in the haystack. Using artificial intelligence is not just interesting in drugs cases involving shipping containers but can also be valuable for many other police investigations. Above all, automating the search process saves massive amounts of time and frees up police officers for other tasks.",National,Netherlands,NL,"Police, NFI",Central-Government,Public order and safety,R&D public order and safety.,In development,2021,,Learning,Machine learning,Searching,,,,Internal management,Internal support processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
337,Hansken - Recognizing images of narcotics in digital seizure,https://www.hansken.nl/latest/news/2021/03/21/smart-algorithm-faster-search,The NFI has a project under way using AI to recognise narcotics seized from images,National,Netherlands,NL,Netherlands Forensic Institute,Central-Government,Health,Health n.e.c.,Implemented,2021,,Perception,Computer vision,Machine learning,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
338,HKV Eye - Line in Water,"https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen
https://www.hkv.nl/actueel/hkveye-%C2%96-een-helpende-hand-voor-beheer-en-onderhoud-van-waterkeringen/","With HKVEYE ('a new organism on the dike'), HKV Lijn develops extra eyes in water to inspect dikes better and easier. HKVEYE looks in detail at the condition of the dike.",Local,Netherlands,NL,HKV Line in water B.V.,Private sector,Environmental protection,Environmental protection n.e.c.,Pilot,2021,,Integration and Interaction,Robotics and Automation,Computer vision,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Dynamic Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
339,Identifying people at risk of falling into large debts,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,People at risk of defaulting into large debts automatically surface,Local,Netherlands,NL,Municipality of Amsterdam,Local Government,Social protection,Social protection n.e.c.,In development,2021,,Planning,Planning and Scheduling,Automated reasoning,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2C,Historical Data,Historical Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
